wage_id,footnote_id,column_reference
1,1,general
2,2,general
4,3,general
7,4,general
10,2,general
11,2,general
14,2,general
16,2,general
17,2,general
18,5,general
19,2,general
21,6,general
24,6,general
25,2,general
26,2,general
27,2,general
32,7,general
35,4,general
36,4,general
41,2,general
42,8,general
43,2,general
44,2,general
45,6,general
47,2,general
52,7,general
54,1,general
55,2,general
56,1,general
57,2,general
59,3,general
62,4,general
65,2,general
66,2,general
69,2,general
71,2,general
72,2,general
73,5,general
74,2,general
79,6,general
80,2,general
81,2,general
82,2,general
85,1,general
87,1,general
90,9,general
91,4,general
96,2,general
98,2,general
99,2,general
100,6,general
102,2,general
107,10,general
109,1,general
110,2,general
112,2,general
114,3,general
117,4,general
120,2,general
126,2,general
127,2,general
128,5,general
129,2,general
130,11,general
134,1,general
135,2,general
136,2,general
142,1,general
145,9,general
146,4,general
151,2,general
153,2,general
155,12,general
157,2,general
162,13,general
164,1,general
165,2,general
166,14,general
167,2,general
169,2,general
172,4,general
173,15,general
175,2,general
181,2,general
182,2,general
184,2,general
186,14,general
190,2,general
191,2,general
194,14,general
195,14,general
200,14,general
206,2,general
208,2,general
210,16,general
213,14,general
217,17,general
219,18,general
220,2,general
222,2,general
224,2,general
230,2,general
236,2,general
239,2,general
245,2,general
246,2,general
255,14,general
261,2,general
263,2,general
265,19,general
272,20,general
274,18,general
277,2,general
279,2,general
285,2,general
291,2,general
294,2,general
300,2,general
301,2,general
310,21,general
316,2,general
318,2,general
320,22,general
327,23,general
329,18,general
332,2,general
334,2,general
346,2,general
349,2,general
355,2,general
356,2,general
365,21,general
371,2,general
373,2,general
375,17,general
382,24,general
384,21,general
387,2,general
389,2,general
395,2,general
401,2,general
404,2,general
409,23,general
410,2,general
411,2,general
420,21,general
426,2,general
428,2,general
430,17,general
437,25,general
439,26,general
442,2,general
444,2,general
450,2,general
459,2,general
465,2,general
481,2,general
483,2,general
492,25,general
494,27,general
495,28,general
497,2,general
499,2,general
505,2,general
514,2,general
520,2,general
536,2,general
538,2,general
547,29,general
549,27,general
550,28,general
552,2,general
554,2,general
560,2,general
569,2,general
575,2,general
591,2,general
593,2,general
604,27,general
605,28,general
607,2,general
609,2,general
615,2,general
624,2,general
630,2,general
646,2,general
648,2,general
659,30,general
662,2,general
664,2,general
670,2,general
679,2,general
685,2,general
701,2,general
703,2,general
